concept,ticket_id,title,type,status
XPO,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
XPO,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
XPO,T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived
XPO,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
XPO,T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,InvalidInfo,Closed
XPO,T1306647,Use the Security System - missing essential DbSets,InsuffInfo,Closed
XPO,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
XPO,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
XPO,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
XPO,T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived
XPO,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
XPO,T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed
XPO,T1293448,Describe new XAF0033 warning,NewFeatureIssue,Closed
XPO,T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed
XPO,T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived
XPO,T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed
XPO,T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived
XPO,T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed
XPO,T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed
XPO,T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived
Non-persistent Object,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
Non-persistent Object,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Non-persistent Object,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Non-persistent Object,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Non-persistent Object,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
Non-persistent Object,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Non-persistent Object,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Non-persistent Object,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
Non-persistent Object,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
Non-persistent Object,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Non-persistent Object,T1314402,Missing one step of the process - Implement a Property Editor Based on a Custom Component (Blazor),InsuffInfo,Archived
Non-persistent Object,T1314393,You have a new 'GitHub Examples  User Feedback' response.,UnusableFeedback,Closed
Non-persistent Object,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
Non-persistent Object,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
Non-persistent Object,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Non-persistent Object,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Non-persistent Object,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Non-persistent Object,T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,InvalidInfo,Closed
Non-persistent Object,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Non-persistent Object,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Non-persistent Object,T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,UnusableFeedback,Closed
Non-persistent Object,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
Non-persistent Object,T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived
Non-persistent Object,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
Non-persistent Object,T1286784,"FROM PM: Add a note about Visual Studio code style settings, which lead to runtime errors",InsuffInfo,Archived
Non-persistent Object,T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived
Non-persistent Object,T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived
Non-persistent Object,T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed
Non-persistent Object,T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed
Non-persistent Object,T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived
Business Object,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
