source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets,pair_type,similarity_band
data/raw_md/articles/ui-construction/views/ways-to-show-a-view/how-to-show-a-custom-window-with-an-embedded-xaf-view,how-to-show-a-custom-window-with-an-embedded-xaf-view::2,False,['View Items' 'View Lifecycle' 'Views' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp.Win/ShowInSingleWindowStrategy/#ctor1131444,#ctor1131444::1,True,['WinForms' 'Windows'],0.7034508585929871,2.110352575778961,True,2772,ca,0.70-0.75
data/raw_md/articles/localization/localization-basics,localization-basics::2,False,['.NET Runtime' 'Application Model' 'Blazor' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/SetFormattingCulture1131241,SetFormattingCulture1131241::1,True,['.NET Runtime' 'Blazor' 'Threading Issues' 'WinForms'],0.703411877155304,2.110235631465912,True,484,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/DataSourceBase/DataSourceBase,DataSourceBase::1,True,['Reports' 'Reports V2'],data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::6,False,['Business Object' 'Entity Framework Core' 'Reports' 'Reports V2' 'XPO'],0.7033828496932983,2.110148549079895,True,470,ac,0.70-0.75
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,reports-v2-module-overview::6,False,['Business Object' 'Entity Framework Core' 'Reports' 'Reports V2' 'XPO'],data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/DataSourceBase/DataSourceBase,DataSourceBase::1,True,['Reports' 'Reports V2'],0.7033828496932983,2.110148549079895,True,470,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Base/ObjectFormatter/Format1131334,Format1131334::2,True,['Entity Framework Core'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-human-readable/test-an-action,test-an-action::4,False,[],0.7033540606498718,2.1100621819496155,True,470,ac,0.70-0.75
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-human-readable/test-an-action,test-an-action::4,False,[],data/raw_md/apidoc/DevExpress.Persistent.Base/ObjectFormatter/Format1131334,Format1131334::2,True,['Entity Framework Core'],0.7033540606498718,2.1100621819496155,True,470,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/ListView/CurrentObject1129857,CurrentObject1129857::3,True,['Detail View' 'List View' 'View Types' 'Views'],data/raw_md/articles/ui-construction/ways-to-access-ui-elements-and-their-controls/how-to-access-objects-selected-in-the-current-view,how-to-access-objects-selected-in-the-current-view::3,False,['Action Types' 'Actions' 'Detail View' 'List View' 'View Types' 'Views'],0.7033519148826599,2.1100557446479797,True,2772,ac,0.70-0.75
data/raw_md/articles/ui-construction/ways-to-access-ui-elements-and-their-controls/how-to-access-objects-selected-in-the-current-view,how-to-access-objects-selected-in-the-current-view::3,False,['Action Types' 'Actions' 'Detail View' 'List View' 'View Types' 'Views'],data/raw_md/apidoc/DevExpress.ExpressApp/ListView/CurrentObject1129857,CurrentObject1129857::3,True,['Detail View' 'List View' 'View Types' 'Views'],0.7033519148826599,2.1100557446479797,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/DXPropertyEditor/DXPropertyEditor,DXPropertyEditor::2,True,[],data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/implement-a-property-editor-using-a-devexpress-winforms-control,implement-a-property-editor-using-a-devexpress-winforms-control::4,False,['Application Model' 'Property Editors' 'WinForms'],0.7033453583717346,2.110036075115204,True,1634,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::1,True,['Action State Management' 'Actions' 'Conditional Appearance'],data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::3,False,['Application Model' 'Business Object' 'Conditional Appearance' 'Criteria'],0.7033425569534302,2.1100276708602905,True,717,ac,0.70-0.75
data/raw_md/articles/ui-construction/list-editors/how-to-display-a-list-view-as-a-chart,how-to-display-a-list-view-as-a-chart::2,False,"['.NET Runtime' 'Application Model' 'Blazor' 'List Editors' 'List View'
 'View Types' 'Views' 'WinForms' 'Windows']",data/raw_md/apidoc/DevExpress.ExpressApp.Chart.Win/ChartListEditor/ChartListEditor,ChartListEditor::1,True,"['Entity Framework Core' 'List Editors' 'List View'
 'List View Data Access Modes' 'View Types' 'Views' 'WinForms' 'Windows']",0.7033356428146362,2.1100069284439087,True,2772,ca,0.70-0.75
