doc_id,title,doc_type,word_count,uid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/NotEquals1132767,NotEquals1132767,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.NotEquals
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF.PermissionPolicy/PermissionPolicyUser/ruleId_RoleRequired1169787,ruleId_RoleRequired1169787,Field,0,DevExpress.Persistent.BaseImpl.EF.PermissionPolicy.PermissionPolicyUser.ruleId_RoleRequired
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF.PermissionPolicy/PermissionPolicyUser/ruleId_UserNameIsUnique1169788,ruleId_UserNameIsUnique1169788,Field,0,DevExpress.Persistent.BaseImpl.EF.PermissionPolicy.PermissionPolicyUser.ruleId_UserNameIsUnique
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF.PermissionPolicy/PermissionPolicyUser/ruleId_UserNameRequired1169789,ruleId_UserNameRequired1169789,Field,0,DevExpress.Persistent.BaseImpl.EF.PermissionPolicy.PermissionPolicyUser.ruleId_UserNameRequired
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/BaseObject/IsXpoProfiling1135806,IsXpoProfiling1135806,Field,0,DevExpress.Persistent.BaseImpl.BaseObject.IsXpoProfiling
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/OidInitializationMode/AfterConstruction1135382,AfterConstruction1135382,Field,0,DevExpress.Persistent.BaseImpl.OidInitializationMode.AfterConstruction
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/OidInitializationMode/OnSaving1135383,OnSaving1135383,Field,0,DevExpress.Persistent.BaseImpl.OidInitializationMode.OnSaving
data/raw_md/apidoc/DevExpress.Persistent.Base/DataSourcePropertyIsNullMode/CustomCriteria1132090,CustomCriteria1132090,Field,0,DevExpress.Persistent.Base.DataSourcePropertyIsNullMode.CustomCriteria
data/raw_md/apidoc/DevExpress.Persistent.Base/DataSourcePropertyIsNullMode/SelectAll1132091,SelectAll1132091,Field,0,DevExpress.Persistent.Base.DataSourcePropertyIsNullMode.SelectAll
data/raw_md/apidoc/DevExpress.Persistent.Base/DataSourcePropertyIsNullMode/SelectNothing1132092,SelectNothing1132092,Field,0,DevExpress.Persistent.Base.DataSourcePropertyIsNullMode.SelectNothing
data/raw_md/apidoc/DevExpress.Persistent.Base/EmptyEntriesMode/Default1131336,Default1131336,Field,0,DevExpress.Persistent.Base.EmptyEntriesMode.Default
