section_id,doc_id,api_id,api_name,api_type,namespace
Equals1135224::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifiers/Equals1135224,DevExpress.Persistent.Validation.ContextIdentifiers.Equals,Equals,class,DevExpress.Persistent.Validation.ContextIdentifiers
GetHashCode1135225::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifiers/GetHashCode1135225,DevExpress.Persistent.Validation.ContextIdentifiers.GetHashCode,GetHashCode,method,DevExpress.Persistent.Validation.ContextIdentifiers
Item1135228::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifiers/Item1135228,DevExpress.Persistent.Validation.ContextIdentifiers.Item,Item,class,DevExpress.Persistent.Validation.ContextIdentifiers
ToString1135226::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/ContextIdentifiers/ToString1135226,DevExpress.Persistent.Validation.ContextIdentifiers.ToString,ToString,property,DevExpress.Persistent.Validation.ContextIdentifiers
CriteriaEvaluationBehavior::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CriteriaEvaluationBehavior/CriteriaEvaluationBehavior,DevExpress.Persistent.Validation.CriteriaEvaluationBehavior,CriteriaEvaluationBehavior,property,DevExpress.Persistent.Validation
#ctor::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomIsEmptyValueEventArgs/#ctor,DevExpress.Persistent.Validation.CustomIsEmptyValueEventArgs,CustomIsEmptyValueEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1137035::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomIsEmptyValueEventArgs/#ctor1137035,DevExpress.Persistent.Validation.CustomIsEmptyValueEventArgs,CustomIsEmptyValueEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1137867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/#ctor1137867,DevExpress.ExpressApp.IObjectSpace,IObjectSpace,interface,DevExpress.ExpressApp
#ctor1137867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/#ctor1137867,DevExpress.ExpressApp.IObjectSpace,IObjectSpace,interface,DevExpress.ExpressApp
#ctor1137867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/#ctor1137867,DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs,CustomNeedToValidateRuleEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1137867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/#ctor1137867,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
#ctor1137867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/#ctor1137867,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
CustomNeedToValidateRuleEventArgs::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/CustomNeedToValidateRuleEventArgs,DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs
CustomNeedToValidateRuleEventArgs::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomNeedToValidateRuleEventArgs/CustomNeedToValidateRuleEventArgs,DevExpress.Persistent.Validation.CustomNeedToValidateRuleEventArgs,CustomNeedToValidateRuleEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1137874::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/#ctor1137874,DevExpress.ExpressApp.IObjectSpace,IObjectSpace,interface,DevExpress.ExpressApp
#ctor1137874::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/#ctor1137874,DevExpress.ExpressApp.IObjectSpace,IObjectSpace,interface,DevExpress.ExpressApp
#ctor1137874::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/#ctor1137874,DevExpress.Persistent.Validation.CustomValidateRuleEventArgs,CustomValidateRuleEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1137874::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/#ctor1137874,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
#ctor1137874::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/#ctor1137874,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
CustomValidateRuleEventArgs::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/CustomValidateRuleEventArgs,DevExpress.Persistent.Validation.CustomValidateRuleEventArgs._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.CustomValidateRuleEventArgs
CustomValidateRuleEventArgs::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/CustomValidateRuleEventArgs/CustomValidateRuleEventArgs,DevExpress.Persistent.Validation.CustomValidateRuleEventArgs,CustomValidateRuleEventArgs,delegate,DevExpress.Persistent.Validation
#ctor1148352::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/GenerateMessageTemplatesModelAttribute/#ctor1148352,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute,GenerateMessageTemplatesModelAttribute,class,DevExpress.Persistent.Validation
GenerateMessageTemplatesModelAttribute::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/GenerateMessageTemplatesModelAttribute/GenerateMessageTemplatesModelAttribute,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute
GenerateMessageTemplatesModelAttribute::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/GenerateMessageTemplatesModelAttribute/GenerateMessageTemplatesModelAttribute,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute,GenerateMessageTemplatesModelAttribute,property,DevExpress.Persistent.Validation
MessageTemplatePropertyName1148354::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/GenerateMessageTemplatesModelAttribute/MessageTemplatePropertyName1148354,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute.MessageTemplatePropertyName,MessageTemplatePropertyName,property,DevExpress.Persistent.Validation.GenerateMessageTemplatesModelAttribute
IEmptyCheckable::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IEmptyCheckable/IEmptyCheckable,DevExpress.Persistent.Validation.IEmptyCheckable._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.IEmptyCheckable
IEmptyCheckable::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IEmptyCheckable/IEmptyCheckable,DevExpress.Persistent.Validation.IEmptyCheckable,IEmptyCheckable,interface,DevExpress.Persistent.Validation
