doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/enable-additional-modules/highlight-list-view-objects,highlight-list-view-objects::2,False,[],59,"['.NET Runtime' 'Application Model' 'Blazor' 'Conditional Appearance'
 'Criteria' 'Detail View' 'List View' 'Model Editor' 'Package Management'
 'Property Editors' 'View Items' 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/enable-additional-modules/implement-property-value-validation,implement-property-value-validation::3,False,[],6,"['.NET Runtime' 'Application Model' 'Blazor' 'Criteria' 'Model Editor'
 'WinForms' 'Windows']"
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/define-data-model-and-set-initial-data/define-data-model-and-set-initial-data-with-ef-core/implement-dependent-reference-properties-ef-core,implement-dependent-reference-properties-ef-core::3,False,[],24,"['.NET Runtime' 'Blazor' 'Business Objects' 'Collection Property'
 'Criteria' 'Detail View' 'List View' 'Lookup Property Editors'
 'Object Relationships' 'Property Editor Types' 'Property Editors'
 'Reference Property' 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/filtering/in-list-view/adjust-data-sources-for-reference-and-collection-properties,adjust-data-sources-for-reference-and-collection-properties::1,False,[],38,"['Collection Property' 'Controller Activation' 'Controllers' 'Criteria'
 'List View' 'Property Editors' 'Reference Property' 'Target Properties'
 'View Types' 'Views' 'Windows']"
data/raw_md/articles/filtering/in-list-view/criteria-property-in-the-application-model,criteria-property-in-the-application-model::1,False,[],18,['Application Model' 'Criteria']
data/raw_md/articles/filtering/in-list-view/criteria-property-in-the-application-model,criteria-property-in-the-application-model::2,False,[],32,"['Application Model' 'Criteria' 'List View' 'Model Editor'
 'Property Editors' 'Reference Property' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/criteria-property-of-a-list-views-collection-source,criteria-property-of-a-list-views-collection-source::1,False,[],17,"['Controller Types' 'Controllers' 'Criteria' 'List View' 'View Controller'
 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/criteria-property-of-a-list-views-collection-source,criteria-property-of-a-list-views-collection-source::2,False,[],16,['Criteria' 'List View' 'View Types' 'Views']
data/raw_md/articles/filtering/in-list-view/current-object-parameter,current-object-parameter::6,False,[],19,"['.NET Runtime' 'Blazor' 'Built-in Criteria Operators' 'Business Logic'
 'Criteria' 'Demo Applications' 'List View' 'Property Editors'
 'Reference Property' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::1,False,[],0,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
