api_name,namespace,api_type,num_sections
ObjectReloaded,DevExpress.ExpressApp.IObjectSpace,class,1
SettingsStorage,DevExpress.ExpressApp.LastLogonParametersReadEventArgs,method,1
_membersaltText,DevExpress.ExpressApp.LastLogonParametersReadEventArgs,class,1
SettingsStorage,DevExpress.ExpressApp.LastLogonParametersWritingEventArgs,method,1
CanCancel,DevExpress.ExpressApp.LoggingOffEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.LoggingOffEventArgs,class,1
LogonObject,DevExpress.ExpressApp.LastLogonParametersReadEventArgs,class,1
LogonObject,DevExpress.ExpressApp.LastLogonParametersReadingEventArgs,class,1
SettingsStorage,DevExpress.ExpressApp.LastLogonParametersReadingEventArgs,method,1
_membersaltText,DevExpress.ExpressApp.LastLogonParametersWritingEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.LastLogonParametersReadingEventArgs,class,1
RemoveFromModifiedObjects,DevExpress.ExpressApp.NonPersistentObjectSpace,method,1
NewValue,DevExpress.ExpressApp.ObjectChangedEventArgs,class,1
OldValue,DevExpress.ExpressApp.ObjectChangedEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.ObjectChangedEventArgs,class,1
ObjectManipulatingEventArgs,DevExpress.ExpressApp,delegate,1
Assign,DevExpress.ExpressApp.ShowViewParameters,class,1
ErrorText,DevExpress.ExpressApp.ValidateObjectEventArgs,class,1
Valid,DevExpress.ExpressApp.ValidateObjectEventArgs,class,1
HasView,DevExpress.ExpressApp.ViewShortcut,class,1
IsEmpty,DevExpress.ExpressApp.ViewShortcut,class,1
BeginInit,DevExpress.ExpressApp.XafApplication,class,1
_membersaltText,DevExpress.ExpressApp.LogonEventArgs,class,1
Version,DevExpress.ExpressApp.ModuleBase,class,1
CreateObject,DevExpress.ExpressApp.NonPersistentObjectSpace,method,1
ObjectsCountGetting,DevExpress.ExpressApp.NonPersistentObjectSpace,class,1
LogonObject,DevExpress.ExpressApp.LastLogonParametersWritingEventArgs,class,1
LogonFailed,DevExpress.ExpressApp.XafApplication,class,1
EndInit,DevExpress.ExpressApp.XafApplication,class,1
CurrentAspectProvider,DevExpress.ExpressApp.XafApplication,class,1
ICurrentAspectProvider,DevExpress.ExpressApp,interface,1
Connection,DevExpress.ExpressApp.XafApplication,class,1
MainWindow,DevExpress.ExpressApp.XafApplication,class,1
ExpressApplicationSetup,DevExpress.ExpressApp,class,1
PropertyChanged,DevExpress.ExpressApp.XafApplication,class,1
AllowRemove,DevExpress.ExpressApp.XafDataView,class,1
FindExpression,DevExpress.ExpressApp.XafDataView,method,1
Insert,DevExpress.ExpressApp.XafDataView,class,1
TablePrefixes,DevExpress.ExpressApp.XafApplication,class,1
UpdateStatus,DevExpress.ExpressApp.XafApplication,method,1
Add,DevExpress.ExpressApp.XafDataView,method,1
AllowEdit,DevExpress.ExpressApp.XafDataView,class,1
AllowNew,DevExpress.ExpressApp.XafDataView,class,1
ContainsMember,DevExpress.ExpressApp.XafDataViewRecord,class,1
RemoveAt,DevExpress.ExpressApp.XafDataView,method,1
Remove,DevExpress.ExpressApp.XafDataView,method,1
Reload,DevExpress.ExpressApp.XafDataView,class,1
ListChanged,DevExpress.ExpressApp.XafDataView,class,1
GetAttributes,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetComponent,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetClass,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetEditor,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetDefaultProperty,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetDefaultEvent,DevExpress.ExpressApp.XafDataViewRecord,method,1
GetConverter,DevExpress.ExpressApp.XafDataViewRecord,method,1
Expect,DevExpress.EasyTest.Framework.Command,class,1
GetPropertyOwner,DevExpress.ExpressApp.XafDataViewRecord,method,1
Extra,DevExpress.EasyTest.Framework.ParameterList,class,1
Main,DevExpress.EasyTest.Framework.ParameterList,class,1
