api_id,api_name,namespace,api_type,num_sections,related_concepts
DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.TargetCollectionPropertyName,TargetCollectionPropertyName,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,property,1,"['Validation', 'Collection Property']"
DevExpress.Persistent.Validation.IRuleSet.DropCachedRules,DropCachedRules,DevExpress.Persistent.Validation.IRuleSet,property,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.FindRule,FindRule,DevExpress.Persistent.Validation.IRuleSet,method,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,DevExpress.Persistent.Validation.IRuleSet,method,5,['Validation']
DevExpress.Persistent.Validation.IRuleSet,IRuleSet,DevExpress.Persistent.Validation,interface,7,"['Application Model', 'Views', 'XAF Application', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleSet,class,1,"['Application Model', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.Persistent.Validation.IValidator,IValidator,DevExpress.Persistent.Validation,interface,2,"['Application Model', 'Views', 'XAF Application', 'Business Objects', 'Actions', 'Validation', 'Dependency Injection', 'Controllers']"
DevExpress.ExpressApp.XafApplication,XafApplication,DevExpress.ExpressApp,class,163,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Modules', 'Security System', 'Dashboards', 'List View', 'Navigation', 'Tenant', '.NET Runtime', 'Views', 'Layout', 'Window Controller', 'Security Strategy', 'ApplicationBuilder', 'Scheduler', 'Audit Trail', 'XAF Application', 'WinForms', 'Notifications', 'Template Kit', 'Application Model', 'Dashboard View', 'Object Space Provider', 'Blazor UI', 'List Editors', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'PivotGrid', 'Web API Service', 'XPO', 'Migration', 'Validation', 'Popup Window Show Action']"
DevExpress.Persistent.Validation,Validation,DevExpress.Persistent,class,44,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Actions', 'Modules', 'Views', 'Window Controller', 'XAF Application', 'WinForms', 'Application Model', 'File Attachments', 'Blazor UI', 'Simple Action', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation']"
DevExpress.ExpressApp,ExpressApp,DevExpress,class,331,"['Detail View', 'Entity Framework Core', 'Dialog Controller', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Modules', 'Security System', 'Dependency Injection', 'List View', 'Navigation', 'Logging', '.NET Runtime', 'Model Nodes', 'Views', 'Layout', 'Window Controller', 'Security Strategy', 'Scheduler', 'XAF Application', 'WinForms', 'Lookup View', 'Notifications', 'Reference Property', 'Application Model', 'Authentication', 'Parametrized Action', 'Dashboard View', 'Object Space Provider', 'Blazor UI', 'List Editors', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.ExpressApp.Actions,Actions,DevExpress.ExpressApp,class,137,"['Detail View', 'Entity Framework Core', 'Dialog Controller', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Security System', 'Dependency Injection', 'List View', '.NET Runtime', 'Model Nodes', 'Views', 'Window Controller', 'XAF Application', 'WinForms', 'Application Model', 'Parametrized Action', 'Blazor UI', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.ExpressApp.Validation,Validation,DevExpress.ExpressApp,class,12,"['Entity Framework Core', 'XAF Application', 'Views', 'Window Controller', 'Object Space', 'Performance Optimization', 'Model Nodes', 'Actions', 'Validation', 'Modules', 'Dependency Injection', 'View Controller', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet.RegisteredRules,RegisteredRules,DevExpress.Persistent.Validation.IRuleSet,property,1,['Validation']
DevExpress.Persistent.Validation.IRuleSet.Validate,Validate,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.ValidationFailedDelegate,ValidationFailedDelegate,DevExpress.Persistent.Validation,class,8,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
DevExpress.ExpressApp.Frame,Frame,DevExpress.ExpressApp,class,46,"['Application Model', 'Detail View', 'Views', 'Object Space', 'Property Editors', 'Actions', 'Validation', 'List Editors', 'Simple Action', 'XAF Application', 'WinForms', 'List View', 'View Controller', 'Controllers']"
DevExpress.ExpressApp.FramedefaultValue,FramedefaultValue,DevExpress.ExpressApp,class,4,"['Views', 'Object Space', 'Actions', 'Validation', 'Simple Action', 'WinForms', 'View Controller', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet.ValidateAll,ValidateAll,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
DevExpress.Persistent.Base,Base,DevExpress.Persistent,class,171,"['Detail View', 'Entity Framework Core', 'Dialog Controller', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Modules', 'Security System', 'List View', '.NET Runtime', 'Model Nodes', 'Views', 'Window Controller', 'Security Strategy', 'XAF Application', 'WinForms', 'Reference Property', 'Lookup View', 'Application Model', 'Authentication', 'Parametrized Action', 'File Attachments', 'Blazor UI', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
ObjectSpace.GetObjectsToSave(,GetObjectsToSave(,ObjectSpace,method,7,"['Object Space', 'Actions', 'Validation', 'Simple Action', 'View Controller']"
DevExpress.Persistent.Validation.IRuleSet.ValidateAllTargets,ValidateAllTargets,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Actions', 'Validation', 'Object Space']"
DevExpress.Persistent.Validation.RuleSetValidationResult,RuleSetValidationResult,DevExpress.Persistent.Validation,property,18,"['Object Space', 'Actions', 'Validation', 'WinForms', 'Controllers']"
DevExpress.Persistent.Validation.IRuleSet.ValidateTarget,ValidateTarget,DevExpress.Persistent.Validation.IRuleSet,class,2,"['Validation', 'Object Space']"
DevExpress.Persistent.Validation.IRuleSet.ValidationCompleted,ValidationCompleted,DevExpress.Persistent.Validation.IRuleSet,property,1,['Validation']
DevExpress.Persistent.Validation.ValidationException.ObjectHeaderFormat,ObjectHeaderFormat,DevExpress.Persistent.Validation.ValidationException,class,2,['Validation']
DevExpress.Persistent.Validation.IRuleSource.CreateRules,CreateRules,DevExpress.Persistent.Validation.IRuleSource,method,1,['Validation']
DevExpress.ExpressApp.Validation.ValidationModule.EnableRuntimeRuleCache,EnableRuntimeRuleCache,DevExpress.ExpressApp.Validation.ValidationModule,class,2,"['Application Model', 'Authentication', 'Entity Framework Core', 'Performance Optimization', 'Business Objects', 'Actions', 'Validation', 'XAF Application']"
DevExpress.ExpressApp.Validation.ValidationModule.EnableRuntimeRuleDiscovery,EnableRuntimeRuleDiscovery,DevExpress.ExpressApp.Validation.ValidationModule,class,2,"['Application Model', 'Authentication', 'Entity Framework Core', 'Performance Optimization', 'Business Objects', 'Actions', 'Validation', 'XAF Application']"
DevExpress.Persistent.Validation.IRuleSource,IRuleSource,DevExpress.Persistent.Validation,interface,7,"['Application Model', 'Authentication', 'Entity Framework Core', 'Performance Optimization', 'Object Space', 'Business Objects', 'Object Space Provider', 'Actions', 'Validation', 'XAF Application']"
DevExpress.Persistent.Validation.IRuleSource._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleSource,class,1,"['Application Model', 'Authentication', 'Entity Framework Core', 'Performance Optimization', 'Business Objects', 'Actions', 'Validation', 'XAF Application']"
DevExpress.Persistent.Base.DefaultClassOptionsAttribute,DefaultClassOptionsAttribute,DevExpress.Persistent.Base,class,4,"['Entity Framework Core', 'Reports', 'Views', 'XPO', 'Business Objects', 'Dashboards', 'Actions', 'Validation', 'XAF Application', 'Navigation', 'Model Nodes']"
DevExpress.Persistent.BaseImpl.EF,EF,DevExpress.Persistent.BaseImpl,class,19,"['Detail View', 'Entity Framework Core', 'Criteria', 'File Attachments', 'Object Space', 'XPO', 'Property Editors', 'Blazor UI', 'Validation', 'WinForms']"
DevExpress.Persistent.BaseImpl,BaseImpl,DevExpress.Persistent,class,95,"['Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'Security System', 'Modules', 'List View', '.NET Runtime', 'Model Nodes', 'Views', 'Window Controller', 'ApplicationBuilder', 'WinForms', 'Lookup View', 'Application Model', 'Parametrized Action', 'File Attachments', 'Blazor UI', 'Simple Action', 'Reports', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation', 'Popup Window Show Action']"
DevExpress.Xpo,Xpo,DevExpress,class,46,"['Detail View', 'Entity Framework Core', 'Object Space', 'Business Objects', 'Actions', '.NET Runtime', 'Views', 'XAF Application', 'WinForms', 'Lookup View', 'Application Model', 'Parametrized Action', 'File Attachments', 'Blazor UI', 'View Controller', 'Controllers', 'Criteria', 'XPO', 'Validation']"
DevExpress.Persistent.Validation.IRuleSource.Name,Name,DevExpress.Persistent.Validation.IRuleSource,property,1,['Validation']
DevExpress.Persistent.Validation.IRuleSupportsCollectionAggregatesProperties._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IRuleSupportsCollectionAggregatesProperties,class,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.IRuleSupportsCollectionAggregatesProperties,IRuleSupportsCollectionAggregatesProperties,DevExpress.Persistent.Validation,interface,1,"['Application Model', 'Validation']"
DevExpress.Data.Filtering.Aggregate,Aggregate,DevExpress.Data.Filtering,class,3,"['Validation', 'Collection Property']"
DevExpress.Persistent.Validation.IRuleSupportsCollectionAggregatesProperties.TargetCollectionAggregate,TargetCollectionAggregate,DevExpress.Persistent.Validation.IRuleSupportsCollectionAggregatesProperties,property,1,"['Validation', 'Collection Property']"
DevExpress.ExpressApp.SystemModule.ModificationsController.ModificationsHandlingModealtText,ModificationsHandlingModealtText,DevExpress.ExpressApp.SystemModule.ModificationsController,class,2,"['XAF Application', 'Views', 'Validation']"
DevExpress.Persistent.Validation.IValidator._membersaltText,_membersaltText,DevExpress.Persistent.Validation.IValidator,class,1,"['XAF Application', 'Views', 'Validation']"
devexpress.com,com,devexpress,method,17,"['Legacy .NET Framework', 'Detail View', 'Entity Framework Core', 'Object Space', 'Property Editors', 'Business Objects', 'Actions', 'List View', '.NET Runtime', 'Views', 'Performance Optimization', 'ApplicationBuilder', 'XAF Application', 'WinForms', 'Lookup View', 'Application Model', 'File Attachments', 'Blazor UI', 'Object Space Provider', 'View Controller', 'Controllers', 'XPO', 'Validation']"
DevExpress.Persistent.Validation.IValidator.RuleSet,RuleSet,DevExpress.Persistent.Validation.IValidator,property,1,"['XAF Application', 'Validation']"
DevExpress.Persistent.Validation.ParametersMode,ParametersMode,DevExpress.Persistent.Validation,property,17,"['Application Model', 'Entity Framework Core', 'Validation', 'Criteria']"
DevExpress.Persistent.Validation.RuleBase,RuleBase,DevExpress.Persistent.Validation,class,6,['Validation']
DevExpress.Persistent.Validation.RuleBase.CustomFormatValidationMessage,CustomFormatValidationMessage,DevExpress.Persistent.Validation.RuleBase,property,1,"['Validation', 'Views', 'Detail View', 'Controllers']"
DevExpress.ExpressApp.Model,Model,DevExpress.ExpressApp,class,27,"['Detail View', 'Entity Framework Core', 'Views', 'Model Nodes', 'Window Controller', 'XPO', 'Object Space', 'Property Editors', 'Popup Window Show Action', 'Actions', 'Validation', 'List Editors', 'XAF Application', 'List View', 'Controllers']"
DevExpress.Persistent.Validation.RuleBase.DefaultMessageTemplateSkipNullOrEmptyValues,DefaultMessageTemplateSkipNullOrEmptyValues,DevExpress.Persistent.Validation.RuleBase,property,1,['Validation']
DevExpress.Persistent.Validation.RuleSet.CustomIsEmptyValue,CustomIsEmptyValue,DevExpress.Persistent.Validation.RuleSet,class,2,['Validation']
DevExpress.Persistent.Validation.RuleSet.CustomIsEmptyValueType,CustomIsEmptyValueType,DevExpress.Persistent.Validation.RuleSet,enum,1,['Validation']
DevExpress.Persistent.Validation.RuleBase.GetPropertyValue0,GetPropertyValue0,DevExpress.Persistent.Validation.RuleBase,method,1,['Validation']
DevExpress.ExpressApp.Services.Localization.ICaptionHelperProvider,ICaptionHelperProvider,DevExpress.ExpressApp.Services.Localization,interface,11,"['Application Model', 'Object Space', 'Modules', 'Validation', 'Security System', 'XAF Application', '.NET Runtime']"
DevExpress.Persistent.Validation.RuleBase.GetValidationResultMessage,GetValidationResultMessage,DevExpress.Persistent.Validation.RuleBase,method,2,['Validation']
DevExpress.Persistent.Validation.RuleBase.Id,Id,DevExpress.Persistent.Validation.RuleBase,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBase.Properties,Properties,DevExpress.Persistent.Validation.RuleBase,property,1,"['Application Model', 'Validation']"
DevExpress.Persistent.Validation.RuleBase.PropertiesType,PropertiesType,DevExpress.Persistent.Validation.RuleBase,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBase._membersaltText,_membersaltText,DevExpress.Persistent.Validation.RuleBase,class,1,['Validation']
DevExpress.Persistent.Validation.RuleBase.TargetObject,TargetObject,DevExpress.Persistent.Validation.RuleBase,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBase.UsedProperties,UsedProperties,DevExpress.Persistent.Validation.RuleBase,property,1,"['Property Editors', 'Views', 'Validation']"
DevExpress.Persistent.Validation.RuleBase.Validate,Validate,DevExpress.Persistent.Validation.RuleBase,class,1,['Validation']
DevExpress.Persistent.Validation.RuleIsReferencedAttribute,RuleIsReferencedAttribute,DevExpress.Persistent.Validation,class,8,"['Application Model', 'Entity Framework Core', 'Property Editors', 'Business Objects', 'Validation', 'Reference Property']"
DevExpress.Persistent.Validation.RuleObjectExistsAttribute,RuleObjectExistsAttribute,DevExpress.Persistent.Validation,class,8,"['Application Model', 'Criteria', 'Entity Framework Core', 'Property Editors', 'Business Objects', 'Validation']"
DevExpress.Persistent.Validation.RuleUniqueValueAttribute,RuleUniqueValueAttribute,DevExpress.Persistent.Validation,class,7,"['Application Model', 'Entity Framework Core', 'Property Editors', 'Business Objects', 'Validation']"
DevExpress.Persistent.Validation.RuleBaseAttribute.Name,Name,DevExpress.Persistent.Validation.RuleBaseAttribute,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBaseAttribute.ResultType,ResultType,DevExpress.Persistent.Validation.RuleBaseAttribute,property,1,['Validation']
DevExpress.Persistent.Validation.RuleBaseAttribute._membersaltText,_membersaltText,DevExpress.Persistent.Validation.RuleBaseAttribute,class,1,"['Business Objects', 'Application Model', 'Validation']"
