doc_id,keywords,keyword_count,has_deployment_tag,current_concepts,namespaces,apis
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.Security.Authentication.WindowsAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win/WinShowViewStrategyBase/ShowStartupWindow1131439,startup,1,False,,,DevExpress.ExpressApp.Win.WinShowViewStrategyBase.ShowStartupWindowname
data/raw_md/apidoc/DevExpress.ExpressApp.Win/WinShowViewStrategyBase/StartupWindowLoad1137426,startup,1,False,,,DevExpress.ExpressApp.Win.WinShowViewStrategyBase.StartupWindowLoadname
data/raw_md/apidoc/DevExpress.ExpressApp.WebApi.Services/WebApiStartupExtensions/AddXafWebApi,startup,1,False,"Actions, Blazor UI, Business Objects",,"DevExpress.ExpressApp.WebApi.Services.WebApiOptions, DevExpress.ExpressApp.WebApi.Services.WebApiStartupExtensions.AddXafWebApi, DevExpress.ExpressApp.WebApi.Services.XafWebApiBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.WebApi.Services/WebApiStartupExtensions/AddXafWebApi,startup,1,False,XPO,,XPO
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ShowNavigationItemController/GetStartupNavigationItem1130816,startup,1,False,"Actions, Navigation",,"DevExpress.ExpressApp.Actions.ChoiceActionItemdescription, DevExpress.ExpressApp.SystemModule.ShowNavigationItemController.GetStartupNavigationItemname"
data/raw_md/apidoc/DevExpress.ExpressApp.Security/SecurityModule/GetStartupActions1136711,startup,1,False,Actions,,"DevExpress.ExpressApp.Actions.PopupWindowShowAction, DevExpress.ExpressApp.Security.SecurityModule.GetStartupActionsname"
data/raw_md/apidoc/DevExpress.ExpressApp.Office.Blazor/StartupExtensions/AddXafOffice,startup,1,False,".NET Runtime, Blazor UI",,DevExpress.ExpressApp.Office.Blazor.StartupExtensions.AddXafOffice
data/raw_md/apidoc/DevExpress.ExpressApp.Office.Blazor/StartupExtensions/StartupExtensions,startup,1,False,".NET Runtime, Blazor UI",,"DevExpress.ExpressApp.Office.Blazor.StartupExtensions._membersaltText, DevExpress.ExpressApp.Office.Blazor.StartupExtensionsname"
